year,age_group,mean_wealth
2002,Menor de 35 anos,80423.5666492266
2002,Entre 35 y 44 anos,122934.628469556
2002,Entre 45 y 54 anos,191473.427289137
2002,Entre 55 y 64 anos,214159.590461351
2002,Entre 65 y 74 anos,147742.171959316
2002,Mayor de 74 anos,115244.518871593
2005,Menor de 35 anos,126365.849593331
2005,Entre 35 y 44 anos,197908.061118748
2005,Entre 45 y 54 anos,318739.98906614
2005,Entre 55 y 64 anos,387828.532553478
2005,Entre 65 y 74 anos,234651.013897123
2005,Mayor de 74 anos,199567.624101915
2008,Menor de 35 anos,136714.032028131
2008,Entre 35 y 44 anos,200570.735993597
2008,Entre 45 y 54 anos,316883.524490434
2008,Entre 55 y 64 anos,425809.067169554
2008,Entre 65 y 74 anos,321921.74292564
2008,Mayor de 74 anos,258063.412766792
2011,Menor de 35 anos,101752.302181286
2011,Entre 35 y 44 anos,169502.91275399
2011,Entre 45 y 54 anos,254906.634654573
2011,Entre 55 y 64 anos,409105.308540735
2011,Entre 65 y 74 anos,350892.874597556
2011,Mayor de 74 anos,255755.423325938
2014,Menor de 35 anos,81336.5196110697
2014,Entre 35 y 44 anos,121164.264917989
2014,Entre 45 y 54 anos,212226.03394934
2014,Entre 55 y 64 anos,361464.369099431
2014,Entre 65 y 74 anos,391988.51821434
2014,Mayor de 74 anos,270859.578528468
2017,Menor de 35 anos,46893.4422720144
2017,Entre 35 y 44 anos,134921.447874002
2017,Entre 45 y 54 anos,239618.608386872
2017,Entre 55 y 64 anos,313482.33262554
2017,Entre 65 y 74 anos,368477.405388109
2017,Mayor de 74 anos,333782.721418166
2020,Menor de 35 anos,68168.4549288546
2020,Entre 35 y 44 anos,139997.157449773
2020,Entre 45 y 54 anos,268697.04562552
2020,Entre 55 y 64 anos,330425.759506108
2020,Entre 65 y 74 anos,363660.291799465
2020,Mayor de 74 anos,381243.572277327
2022,Menor de 35 anos,76839.4985364313
2022,Entre 35 y 44 anos,185342.906332369
2022,Entre 45 y 54 anos,257792.071684505
2022,Entre 55 y 64 anos,388459.110157748
2022,Entre 65 y 74 anos,442044.618239682
2022,Mayor de 74 anos,454993.059679048
